A1,"15_clicks, 15_clicks, 13_clicks"
A12309,"18_carts, 7_clicks, 7_carts"
A12310,"7_carts, 11_clicks, 18_clicks"
A12311,"11_carts, 18_clicks, 18_clicks"
A12312,"18_carts, 8_clicks, 14_clicks"
A12313,"18_clicks, 0_clicks, 14_clicks"
A12314,"15_clicks, 4_clicks, 17_carts"
A12315,"4_clicks, 17_carts, 16_clicks"
A12316,"17_carts, 16_clicks, 16_carts"
A12317,"16_clicks, 9_clicks, 17_orders"
A12318,"9_clicks, 17_orders, 9_orders"
A12319,"17_orders, 9_orders, 16_orders"
A12320,"16_orders, 9_clicks, 14_clicks"
A12321,"14_carts, 18_clicks, 9_clicks"
A12322,"0_clicks, 0_clicks, 12_carts"
A12323,"0_clicks, 12_carts, 6_clicks"
A12324,"0_clicks, 11_clicks, 9_carts"
A12325,"11_clicks, 9_carts, 0_clicks"
A12326,"9_carts, 0_clicks, 3_clicks"
A12327,"17_clicks, 0_clicks, 14_clicks"
A12328,"8_clicks, 12_clicks, 2_clicks"
A12329,"0_clicks, 10_clicks, 18_clicks"
A12330,"1_clicks, 18_clicks, 13_carts"
A12331,"18_clicks, 13_carts, 1_clicks"
A12332,"13_clicks, 4_clicks, 15_clicks"
A12333,"10_carts, 6_clicks, 10_carts"
A12334,"6_clicks, 10_carts, 15_clicks"
A12335,"16_clicks, 6_clicks, 2_carts"
A12336,"6_clicks, 2_carts, 7_clicks"
A12337,"2_carts, 7_clicks, 13_carts"
A12338,"7_clicks, 13_carts, 11_clicks"
A12339,"13_carts, 11_clicks, 7_clicks"
A12340,"4_clicks, 12_clicks, 8_carts"
A12341,"9_clicks, 8_clicks, 18_carts"
A12342,"8_clicks, 18_carts, 12_clicks"
A12343,"18_carts, 12_clicks, 12_carts"
A12344,"2_carts, 2_carts, 2_orders"
A12345,"2_carts, 2_orders, 12_orders"
A12346,"2_orders, 12_orders, 8_orders"
A12347,"12_orders, 8_orders, 7_orders"
A12348,"8_orders, 7_orders, 10_orders"
A12349,"7_orders, 10_orders, 13_clicks"
A12350,"10_orders, 13_clicks, 13_carts"
A12351,"13_carts, 2_clicks, 3_clicks"
A12352,"1_clicks, 4_clicks, 18_clicks"
A12353,"0_carts, 0_clicks, 2_clicks"
A12354,"2_carts, 13_clicks, 10_clicks"
A12355,"18_clicks, 18_carts, 2_orders"
A12356,"18_carts, 2_orders, 9_orders"
A12357,"2_orders, 9_orders, 10_orders"
A12358,"9_orders, 10_orders, 8_orders"
A12359,"10_orders, 8_orders, 1_orders"
A12360,"8_orders, 1_orders, 1_orders"
A12361,"1_orders, 1_orders, 9_orders"
A12362,"1_orders, 9_orders, 18_orders"
A12363,"9_orders, 18_orders, 0_orders"
A12364,"18_orders, 0_orders, 1_orders"
A12365,"7_carts, 10_clicks, 10_carts"
A12366,"10_carts, 10_carts, 16_clicks"
A12367,"3_clicks, 3_carts, 7_orders"
A12368,"3_carts, 7_orders, 3_orders"
A12369,"7_orders, 3_orders, 0_orders"
A12370,"3_orders, 0_orders, 18_orders"
A12371,"0_orders, 18_orders, 10_orders"
A12372,"18_orders, 10_orders, 1_clicks"
A12373,"1_clicks, 18_clicks, 9_clicks"
A12374,"0_carts, 14_clicks, 0_clicks"
A12375,"12_carts, 14_clicks, 10_clicks"
A12376,"15_clicks, 0_clicks, 18_clicks"
A12377,"5_carts, 17_clicks, 10_clicks"
A12378,"17_clicks, 10_clicks, 10_carts"
A12379,"10_carts, 10_carts, 12_clicks"
A12380,"12_carts, 13_clicks, 9_clicks"
A12381,"7_carts, 3_clicks, 6_clicks"
A12382,"6_carts, 17_clicks, 14_clicks"
A12383,"15_carts, 8_clicks, 15_clicks"
A12384,"11_carts, 7_clicks, 9_clicks"
A12385,"16_clicks, 18_clicks, 14_clicks"
A12386,"18_clicks, 14_clicks, 12_clicks"
A12387,"14_clicks, 7_clicks, 10_clicks"
A12388,"17_carts, 0_clicks, 14_clicks"
A12389,"16_clicks, 13_clicks, 5_clicks"
A12390,"0_clicks, 7_clicks, 2_clicks"
A12391,"13_clicks, 12_clicks, 16_clicks"
A12392,"10_clicks, 16_clicks, 15_clicks"
A12393,"2_carts, 2_orders, 13_orders"
A12394,"2_orders, 13_orders, 2_clicks"
A12395,"13_orders, 2_clicks, 5_carts"
A12396,"2_clicks, 5_carts, 2_carts"
A12397,"5_carts, 2_carts, 9_carts"
A12398,"2_carts, 9_carts, 15_clicks"
A12399,"15_carts, 15_clicks, 2_clicks"
A12400,"9_clicks, 4_clicks, 2_orders"
A12401,"4_clicks, 2_orders, 5_orders"
A12402,"2_orders, 5_orders, 4_clicks"
A12403,"5_orders, 4_clicks, 4_carts"
A12404,"4_carts, 4_clicks, 16_clicks"
A12405,"8_carts, 8_clicks, 5_clicks"
A12406,"3_clicks, 3_orders, 2_clicks"
A12407,"3_orders, 2_clicks, 6_clicks"
A12408,"14_carts, 16_clicks, 14_clicks"
A12409,"5_carts, 9_clicks, 12_clicks"
A12410,"17_carts, 1_clicks, 11_clicks"
A12411,"9_carts, 16_clicks, 16_carts"
A12412,"6_clicks, 17_clicks, 17_carts"
A12413,"17_carts, 17_carts, 12_clicks"
A12414,"17_carts, 12_clicks, 13_clicks"
A12415,"16_carts, 9_clicks, 10_clicks"
A12416,"0_carts, 0_clicks, 17_clicks"
A12417,"0_clicks, 17_clicks, 4_carts"
A12418,"17_clicks, 4_carts, 13_clicks"
A12419,"4_carts, 13_clicks, 12_clicks"
A12420,"15_clicks, 3_clicks, 6_carts"
A12421,"3_clicks, 6_carts, 6_clicks"
A12422,"6_carts, 6_clicks, 11_clicks"
A12423,"11_carts, 9_clicks, 8_clicks"
A12424,"1_carts, 10_clicks, 15_clicks"
A12425,"2_carts, 15_clicks, 8_clicks"
A12426,"9_clicks, 8_clicks, 18_clicks"
A12427,"11_carts, 6_clicks, 12_clicks"
A12428,"8_carts, 4_clicks, 9_clicks"
A12429,"7_clicks, 5_clicks, 14_clicks"
A12430,"18_carts, 0_clicks, 18_clicks"
A12431,"8_carts, 15_clicks, 18_clicks"
A12432,"6_carts, 6_orders, 6_clicks"
A12433,"13_carts, 13_clicks, 18_clicks"
A12434,"4_carts, 4_clicks, 2_clicks"
A12435,"12_clicks, 7_clicks, 12_carts"
A12436,"7_clicks, 12_carts, 12_clicks"
A12437,"8_clicks, 4_clicks, 4_orders"
A12438,"4_orders, 4_clicks, 8_clicks"
A12439,"0_clicks, 4_clicks, 7_clicks"
A12440,"2_clicks, 0_clicks, 7_clicks"
A12441,"7_clicks, 7_clicks, 0_carts"
A12442,"7_clicks, 0_carts, 0_clicks"
A12443,"7_carts, 9_clicks, 7_clicks"
A12444,"7_carts, 3_clicks, 13_clicks"
A12445,"17_carts, 7_clicks, 10_clicks"
A12446,"10_clicks, 11_clicks, 17_carts"
A12447,"11_clicks, 17_carts, 17_clicks"
A12448,"8_clicks, 5_clicks, 7_clicks"
A12449,"14_carts, 14_carts, 15_clicks"
A12450,"14_carts, 15_clicks, 15_carts"
A12451,"15_carts, 15_carts, 2_clicks"
A12452,"15_carts, 2_clicks, 16_clicks"
A12453,"2_carts, 7_clicks, 9_clicks"
A12454,"10_clicks, 17_clicks, 18_clicks"
A12455,"2_clicks, 4_clicks, 13_clicks"
A12456,"6_clicks, 3_clicks, 14_clicks"
A12457,"2_clicks, 18_clicks, 0_clicks"
A12458,"2_carts, 2_clicks, 2_orders"
A12459,"2_clicks, 2_orders, 4_clicks"
A12460,"2_orders, 4_clicks, 6_clicks"
A12461,"2_carts, 2_clicks, 5_clicks"
A12462,"15_clicks, 15_carts, 4_carts"
A12463,"15_carts, 4_carts, 4_clicks"
A12464,"2_carts, 17_clicks, 15_clicks"
A12465,"15_clicks, 12_clicks, 1_carts"
A12466,"12_clicks, 1_carts, 13_clicks"
A12467,"1_carts, 13_clicks, 15_clicks"
A12468,"4_carts, 12_clicks, 11_clicks"
A12469,"11_carts, 8_clicks, 5_clicks"
A12470,"10_carts, 14_clicks, 17_clicks"
A12471,"15_clicks, 0_clicks, 4_clicks"
A12472,"6_clicks, 17_clicks, 10_clicks"
A12473,"6_carts, 4_clicks, 10_clicks"
A12474,"8_carts, 17_orders, 6_orders"
A12475,"17_orders, 6_orders, 8_orders"
A12476,"6_orders, 8_orders, 17_clicks"
A12477,"8_orders, 17_clicks, 6_clicks"
A12478,"14_clicks, 14_orders, 6_clicks"
A12479,"14_orders, 6_clicks, 9_clicks"
A12480,"8_orders, 14_clicks, 9_clicks"
A12481,"8_clicks, 5_clicks, 3_clicks"
A12482,"6_clicks, 8_clicks, 10_carts"
A12483,"8_clicks, 10_carts, 6_carts"
A12484,"10_carts, 6_carts, 8_carts"
A12485,"6_carts, 8_carts, 8_orders"
A12486,"8_carts, 8_orders, 10_orders"
A12487,"8_orders, 10_orders, 6_orders"
A12488,"10_orders, 6_orders, 8_clicks"
A12489,"6_orders, 8_clicks, 12_clicks"
A12490,"2_orders, 2_orders, 14_clicks"
A12491,"2_orders, 14_clicks, 7_clicks"
A12492,"7_clicks, 11_clicks, 17_clicks"
A12493,"16_clicks, 7_clicks, 1_clicks"
A12494,"1_clicks, 6_clicks, 18_clicks"
A12495,"10_carts, 18_clicks, 9_clicks"
A12496,"9_carts, 9_carts, 1_clicks"
A12497,"3_clicks, 13_clicks, 0_clicks"
A12498,"15_carts, 0_clicks, 15_orders"
A12499,"0_clicks, 15_orders, 4_clicks"
A12500,"15_orders, 4_clicks, 4_clicks"
A12501,"3_clicks, 13_clicks, 2_clicks"
A12502,"3_clicks, 7_clicks, 12_clicks"
A12503,"8_clicks, 18_clicks, 12_clicks"
A12504,"12_carts, 0_clicks, 14_clicks"
A12505,"4_clicks, 17_clicks, 12_clicks"
A12506,"9_carts, 9_orders, 7_carts"
A12507,"9_orders, 7_carts, 12_clicks"
A12508,"7_carts, 12_clicks, 4_clicks"
A12509,"11_clicks, 15_clicks, 1_carts"
A12510,"15_clicks, 1_carts, 5_clicks"
A12511,"1_carts, 5_clicks, 5_clicks"
A12512,"5_clicks, 4_clicks, 5_orders"
A12513,"4_clicks, 5_orders, 10_orders"
A12514,"5_orders, 10_orders, 6_clicks"
A12515,"10_orders, 6_clicks, 3_clicks"
A12516,"5_carts, 2_clicks, 14_clicks"
A12517,"13_carts, 10_clicks, 12_clicks"
A12518,"8_carts, 3_clicks, 10_carts"
A12519,"3_clicks, 10_carts, 7_clicks"
A12520,"7_carts, 1_clicks, 15_clicks"
A12521,"9_carts, 14_clicks, 7_clicks"
A12522,"15_carts, 11_clicks, 14_clicks"
A12523,"17_clicks, 13_clicks, 14_carts"
A12524,"13_clicks, 14_carts, 10_clicks"
A12525,"8_clicks, 11_clicks, 5_carts"
A12526,"11_clicks, 5_carts, 15_clicks"
A12527,"15_carts, 7_clicks, 12_clicks"
A12528,"12_carts, 15_clicks, 3_clicks"
A12529,"15_clicks, 13_orders, 10_orders"
A12530,"13_orders, 10_orders, 5_orders"
A12531,"10_orders, 5_orders, 1_orders"
A12532,"5_orders, 1_orders, 8_orders"
A12533,"1_orders, 8_orders, 14_orders"
A12534,"8_orders, 14_orders, 17_orders"
A12535,"14_orders, 17_orders, 15_orders"
A12536,"17_orders, 15_orders, 14_orders"
A12537,"15_orders, 14_orders, 5_orders"
A12538,"14_orders, 5_orders, 9_orders"
A12539,"5_orders, 9_orders, 15_orders"
A12540,"9_orders, 15_orders, 12_orders"
A12541,"15_orders, 12_orders, 7_orders"
A12542,"12_orders, 7_orders, 8_orders"
A12543,"7_orders, 8_orders, 12_orders"
A12544,"8_orders, 12_orders, 16_orders"
A12545,"12_orders, 16_orders, 2_clicks"
A12546,"16_orders, 2_clicks, 2_carts"
A12547,"1_carts, 17_clicks, 18_clicks"
A12548,"11_clicks, 18_clicks, 15_clicks"
A12549,"15_clicks, 18_clicks, 17_clicks"
A12550,"14_carts, 15_clicks, 10_clicks"
A12551,"5_carts, 7_clicks, 5_clicks"
A12552,"0_clicks, 9_clicks, 3_clicks"
A12553,"5_carts, 4_clicks, 3_clicks"
A12554,"18_clicks, 8_clicks, 1_clicks"
A12555,"5_carts, 11_clicks, 14_clicks"
A12556,"1_carts, 14_clicks, 1_clicks"
A12557,"18_carts, 16_clicks, 11_clicks"
A12558,"8_carts, 14_clicks, 18_clicks"
A12559,"14_clicks, 18_clicks, 4_clicks"
A12560,"9_carts, 12_clicks, 12_carts"
A12561,"12_carts, 12_clicks, 11_clicks"
A12562,"13_carts, 5_clicks, 3_clicks"
A12563,"9_clicks, 18_clicks, 3_carts"
A12564,"18_clicks, 3_carts, 14_clicks"
A12565,"3_carts, 14_clicks, 4_clicks"
A12566,"17_clicks, 17_carts, 5_carts"
A12567,"17_carts, 5_carts, 5_clicks"
A12568,"5_carts, 5_clicks, 12_clicks"
A12569,"5_clicks, 12_clicks, 16_carts"
A12570,"12_clicks, 16_carts, 14_clicks"
A12571,"16_carts, 14_clicks, 14_clicks"
A12572,"14_carts, 18_clicks, 1_clicks"
A12573,"11_carts, 17_clicks, 7_clicks"
A12574,"6_carts, 17_clicks, 9_clicks"
A12575,"16_carts, 8_clicks, 16_clicks"
A12576,"14_carts, 7_clicks, 0_clicks"
A12577,"13_clicks, 13_carts, 1_carts"
A12578,"13_carts, 1_carts, 16_clicks"
A12579,"17_carts, 4_clicks, 14_clicks"
A12580,"14_carts, 15_clicks, 11_clicks"
A12581,"15_clicks, 1_carts, 4_carts"
A12582,"1_carts, 4_carts, 16_carts"
A12583,"4_carts, 16_carts, 13_carts"
A12584,"16_carts, 13_carts, 5_carts"
A12585,"13_carts, 5_carts, 14_clicks"
A12586,"5_carts, 14_clicks, 14_clicks"
A12587,"14_clicks, 13_clicks, 16_orders"
A12588,"13_clicks, 16_orders, 4_orders"
A12589,"16_orders, 4_orders, 9_clicks"
A12590,"4_orders, 9_clicks, 9_carts"
A12591,"5_carts, 4_clicks, 13_clicks"
A12592,"15_carts, 4_clicks, 6_clicks"
A12593,"15_carts, 16_clicks, 9_clicks"
A12594,"9_clicks, 11_clicks, 5_orders"
A12595,"11_clicks, 5_orders, 12_carts"
A12596,"5_orders, 12_carts, 11_carts"
A12597,"12_carts, 11_carts, 11_orders"
A12598,"11_carts, 11_orders, 12_orders"
A12599,"11_orders, 12_orders, 16_clicks"
A12600,"12_orders, 16_clicks, 4_clicks"
A12601,"16_carts, 1_clicks, 12_clicks"
A12602,"7_carts, 10_clicks, 11_clicks"
A12603,"16_carts, 7_clicks, 9_clicks"
A12604,"0_carts, 7_clicks, 2_clicks"
A12605,"16_carts, 17_carts, 9_clicks"
A12606,"9_carts, 13_clicks, 10_clicks"
A12607,"13_clicks, 10_clicks, 1_carts"
A12608,"10_clicks, 1_carts, 16_carts"
A12609,"1_carts, 16_carts, 17_carts"
A12610,"16_carts, 17_carts, 17_orders"
A12611,"17_carts, 17_orders, 16_orders"
A12612,"17_orders, 16_orders, 1_orders"
A12613,"16_orders, 1_orders, 16_clicks"
A12614,"1_orders, 16_clicks, 2_clicks"
A12615,"16_clicks, 2_clicks, 17_clicks"
A12616,"3_carts, 16_clicks, 11_clicks"
A12617,"2_carts, 9_clicks, 14_clicks"
A12618,"18_clicks, 5_clicks, 13_clicks"
A12619,"14_carts, 1_clicks, 1_carts"
A12620,"13_clicks, 1_clicks, 14_orders"
A12621,"1_clicks, 14_orders, 5_orders"
A12622,"14_orders, 5_orders, 1_orders"
A12623,"5_orders, 1_orders, 10_clicks"
A12624,"11_clicks, 8_clicks, 10_carts"
A12625,"8_clicks, 10_carts, 4_clicks"
A12626,"10_carts, 4_clicks, 10_clicks"
A12627,"4_carts, 12_clicks, 16_clicks"
A12628,"2_clicks, 2_carts, 14_carts"
A12629,"2_carts, 14_carts, 2_carts"
A12630,"14_carts, 2_carts, 2_clicks"
A12631,"2_carts, 2_clicks, 14_carts"
A12632,"2_clicks, 14_carts, 2_clicks"
A12633,"14_carts, 2_clicks, 14_carts"
A12634,"2_clicks, 14_carts, 4_orders"
A12635,"14_carts, 4_orders, 16_orders"
A12636,"4_orders, 16_orders, 2_clicks"
A12637,"16_orders, 2_clicks, 14_carts"
A12638,"2_clicks, 14_carts, 4_clicks"
A12639,"14_carts, 4_clicks, 4_clicks"
A12640,"4_clicks, 15_clicks, 4_carts"
A12641,"15_clicks, 4_carts, 16_clicks"
A12642,"4_carts, 16_clicks, 7_clicks"
A12643,"4_clicks, 0_clicks, 4_orders"
A12644,"0_clicks, 4_orders, 4_clicks"
A12645,"4_orders, 4_clicks, 2_clicks"
A12646,"3_clicks, 8_clicks, 13_clicks"
A12647,"11_clicks, 3_clicks, 9_carts"
A12648,"3_clicks, 9_carts, 11_clicks"
A12649,"9_carts, 11_clicks, 10_clicks"
A12650,"5_clicks, 6_clicks, 11_clicks"
A12651,"7_carts, 12_clicks, 12_clicks"
A12652,"12_carts, 15_clicks, 15_carts"
A12653,"7_carts, 5_clicks, 17_clicks"
A12654,"11_carts, 15_clicks, 11_clicks"
A12655,"9_carts, 7_clicks, 4_clicks"
A12656,"0_clicks, 2_clicks, 8_clicks"
A12657,"15_clicks, 2_clicks, 8_clicks"
A12658,"0_clicks, 8_clicks, 8_orders"
A12659,"8_clicks, 8_orders, 15_clicks"
A12660,"8_orders, 15_clicks, 15_clicks"
A12661,"18_clicks, 14_clicks, 6_clicks"
A12662,"1_carts, 15_clicks, 11_clicks"
A12663,"12_clicks, 9_clicks, 16_clicks"
A12664,"0_clicks, 0_carts, 1_orders"
A12665,"0_carts, 1_orders, 0_orders"
A12666,"1_orders, 0_orders, 12_orders"
A12667,"0_orders, 12_orders, 1_clicks"
A12668,"12_orders, 1_clicks, 1_clicks"
A12669,"4_clicks, 18_clicks, 14_clicks"
A12670,"3_clicks, 18_clicks, 2_clicks"
A12671,"2_carts, 18_clicks, 2_clicks"
A12672,"0_carts, 0_clicks, 13_clicks"
A12673,"17_clicks, 18_clicks, 16_clicks"
A12674,"18_clicks, 16_clicks, 5_clicks"
A12675,"15_clicks, 4_clicks, 16_clicks"
A12676,"6_carts, 6_orders, 7_clicks"
A12677,"6_orders, 7_clicks, 11_clicks"
A12678,"2_orders, 2_clicks, 8_clicks"
A12679,"16_clicks, 0_clicks, 18_carts"
A12680,"0_clicks, 18_carts, 17_clicks"
A12681,"17_clicks, 18_clicks, 18_orders"
A12682,"18_clicks, 18_orders, 2_clicks"
A12683,"18_orders, 2_clicks, 0_clicks"
A12684,"6_carts, 8_clicks, 5_clicks"
A12685,"8_clicks, 2_clicks, 12_carts"
A12686,"2_clicks, 12_carts, 17_clicks"
A12687,"15_clicks, 11_clicks, 4_carts"
A12688,"11_clicks, 4_carts, 17_clicks"
A12689,"4_carts, 17_clicks, 4_clicks"
A12690,"4_carts, 12_clicks, 3_clicks"
A12691,"8_clicks, 11_clicks, 4_orders"
A12692,"11_clicks, 4_orders, 4_orders"
A12693,"4_orders, 4_orders, 6_orders"
A12694,"6_orders, 8_orders, 15_clicks"
A12695,"8_orders, 15_clicks, 16_clicks"
A12696,"2_clicks, 17_clicks, 16_carts"
A12697,"17_clicks, 16_carts, 10_clicks"
A12698,"5_clicks, 8_clicks, 12_carts"
A12699,"12_carts, 1_clicks, 16_clicks"
A12700,"0_clicks, 4_clicks, 8_carts"
A12701,"4_clicks, 8_carts, 1_clicks"
A12702,"8_carts, 1_clicks, 4_carts"
A12703,"1_clicks, 4_carts, 7_clicks"
A12704,"4_carts, 7_clicks, 16_clicks"
A12705,"16_carts, 0_clicks, 11_clicks"
A12706,"14_carts, 4_clicks, 3_clicks"
A12707,"7_clicks, 7_carts, 10_orders"
A12708,"7_carts, 10_orders, 7_orders"
A12709,"10_orders, 7_orders, 4_orders"
A12710,"7_orders, 4_orders, 8_orders"
A12711,"4_orders, 8_orders, 2_orders"
A12712,"8_orders, 2_orders, 2_orders"
A12713,"2_orders, 2_orders, 3_orders"
A12714,"2_orders, 3_orders, 16_orders"
A12715,"3_orders, 16_orders, 6_clicks"
A12716,"16_orders, 6_clicks, 3_clicks"
A12717,"15_carts, 8_clicks, 6_clicks"
A12718,"2_clicks, 6_clicks, 8_carts"
A12719,"6_clicks, 8_carts, 8_clicks"
A12720,"7_clicks, 17_clicks, 18_clicks"
A12721,"10_clicks, 5_clicks, 8_carts"
A12722,"5_clicks, 8_carts, 13_clicks"
A12723,"8_carts, 13_clicks, 11_carts"
A12724,"13_clicks, 11_carts, 10_clicks"
A12725,"10_carts, 7_clicks, 6_carts"
A12726,"7_clicks, 6_carts, 0_clicks"
A12727,"0_clicks, 6_clicks, 3_orders"
A12728,"6_clicks, 3_orders, 0_orders"
A12729,"3_orders, 0_orders, 10_orders"
A12730,"0_orders, 10_orders, 8_orders"
A12731,"10_orders, 8_orders, 6_orders"
A12732,"8_orders, 6_orders, 11_orders"
A12733,"6_orders, 11_orders, 2_clicks"
A12734,"11_orders, 2_clicks, 9_clicks"
A12735,"9_clicks, 14_clicks, 8_carts"
A12736,"14_clicks, 8_carts, 18_clicks"
A12737,"8_carts, 18_clicks, 6_carts"
A12738,"18_clicks, 6_carts, 3_clicks"
A12739,"2_clicks, 8_clicks, 8_orders"
A12740,"8_clicks, 8_orders, 1_orders"
A12741,"8_orders, 1_orders, 15_orders"
A12742,"1_orders, 15_orders, 13_clicks"
A12743,"15_orders, 13_clicks, 6_clicks"
A12744,"15_clicks, 12_carts, 17_carts"
A12745,"12_carts, 17_carts, 17_clicks"
A12746,"17_carts, 17_clicks, 2_orders"
A12747,"17_clicks, 2_orders, 17_orders"
A12748,"2_orders, 17_orders, 16_orders"
A12749,"17_orders, 16_orders, 8_orders"
A12750,"16_orders, 8_orders, 16_clicks"
A12751,"8_orders, 16_clicks, 16_clicks"
A12752,"18_carts, 18_clicks, 8_clicks"
A12753,"4_clicks, 5_clicks, 9_clicks"
A12754,"16_carts, 17_clicks, 17_clicks"
A12755,"8_clicks, 17_clicks, 16_orders"
A12756,"17_clicks, 16_orders, 13_orders"
A12757,"16_orders, 13_orders, 4_orders"
A12758,"13_orders, 4_orders, 15_clicks"
A12759,"4_orders, 15_clicks, 16_clicks"
A12760,"10_carts, 10_clicks, 17_orders"
A12761,"10_clicks, 17_orders, 17_clicks"
A12762,"17_orders, 17_clicks, 1_clicks"
A12763,"2_carts, 6_clicks, 6_clicks"
A12764,"1_carts, 3_clicks, 10_clicks"
A12765,"14_carts, 15_clicks, 1_clicks"
A12766,"11_carts, 7_clicks, 10_clicks"
A12767,"1_carts, 9_clicks, 8_clicks"
A12768,"8_carts, 2_clicks, 4_carts"
A12769,"2_clicks, 4_carts, 2_clicks"
A12770,"4_carts, 2_clicks, 1_clicks"
A12771,"2_clicks, 1_clicks, 11_orders"
A12772,"1_clicks, 11_orders, 1_orders"
A12773,"11_orders, 1_orders, 2_orders"
A12774,"1_orders, 2_orders, 0_clicks"
A12775,"2_orders, 0_clicks, 0_carts"
A12776,"17_carts, 7_clicks, 1_clicks"
A12777,"10_carts, 11_clicks, 13_clicks"
A12778,"9_clicks, 3_clicks, 3_carts"
A12779,"3_carts, 2_clicks, 3_clicks"
A12780,"12_clicks, 16_clicks, 0_carts"
A12781,"16_clicks, 0_carts, 17_clicks"
A12782,"17_carts, 6_clicks, 9_clicks"
A12783,"8_clicks, 6_clicks, 13_clicks"
A12784,"13_carts, 4_clicks, 12_clicks"
A12785,"4_clicks, 12_clicks, 7_carts"
A12786,"12_clicks, 7_carts, 5_clicks"
A12787,"4_carts, 3_clicks, 3_carts"
A12788,"3_carts, 8_clicks, 3_carts"
A12789,"8_clicks, 3_carts, 0_clicks"
A12790,"8_carts, 9_clicks, 15_clicks"
A12791,"15_carts, 11_clicks, 1_clicks"
A12792,"15_carts, 9_clicks, 9_clicks"
A12793,"14_carts, 7_clicks, 13_carts"
A12794,"7_clicks, 13_carts, 9_clicks"
A12795,"15_carts, 12_clicks, 10_clicks"
A12796,"10_clicks, 1_carts, 14_clicks"
A12797,"1_carts, 14_clicks, 16_clicks"
A12798,"13_carts, 18_clicks, 18_clicks"
A12799,"18_clicks, 18_clicks, 5_clicks"
A12800,"11_clicks, 7_carts, 14_clicks"
A12801,"7_carts, 14_clicks, 18_clicks"
A12802,"10_clicks, 14_clicks, 2_carts"
A12803,"2_carts, 6_clicks, 3_clicks"
A12804,"3_clicks, 3_carts, 2_carts"
A12805,"3_carts, 2_carts, 7_clicks"
A12806,"2_carts, 7_clicks, 5_clicks"
A12807,"15_carts, 5_clicks, 5_clicks"
A12808,"8_clicks, 8_carts, 2_orders"
A12809,"8_carts, 2_orders, 18_orders"
A12810,"18_orders, 4_clicks, 1_clicks"
A12811,"1_carts, 11_clicks, 3_clicks"
A12812,"3_carts, 11_clicks, 8_clicks"
A12813,"8_carts, 18_clicks, 18_carts"
A12814,"18_carts, 6_clicks, 6_clicks"
A12815,"11_carts, 6_clicks, 8_clicks"
A12816,"8_clicks, 6_clicks, 8_carts"
A12817,"6_clicks, 8_carts, 1_clicks"
A12818,"5_carts, 3_clicks, 9_clicks"
A12819,"1_orders, 1_clicks, 8_clicks"
A12820,"1_clicks, 1_carts, 4_carts"
A12821,"1_carts, 4_carts, 4_clicks"
A12822,"4_carts, 4_clicks, 1_clicks"
A12823,"6_carts, 4_clicks, 4_clicks"
A12824,"15_carts, 11_clicks, 7_clicks"
A12825,"6_clicks, 3_clicks, 16_carts"
A12826,"3_clicks, 16_carts, 6_carts"
A12827,"16_carts, 6_carts, 12_carts"
A12828,"6_carts, 12_carts, 8_clicks"
A12829,"12_carts, 8_clicks, 8_clicks"
A12830,"8_clicks, 8_clicks, 7_carts"
A12831,"8_clicks, 7_carts, 9_carts"
A12832,"7_carts, 9_carts, 7_carts"
A12833,"9_carts, 7_carts, 3_carts"
A12834,"7_carts, 3_carts, 8_carts"
A12835,"3_carts, 8_carts, 8_clicks"
A12836,"10_carts, 18_clicks, 6_carts"
A12837,"18_clicks, 6_carts, 12_carts"
A12838,"6_carts, 12_carts, 4_carts"
A12839,"12_carts, 4_carts, 6_clicks"
A12840,"4_carts, 6_clicks, 6_clicks"
A12841,"10_clicks, 10_clicks, 8_carts"
A12842,"10_clicks, 8_carts, 16_clicks"
A12843,"8_carts, 16_clicks, 15_clicks"
A12844,"9_clicks, 16_clicks, 14_clicks"
A12845,"14_carts, 8_clicks, 5_clicks"
A12846,"5_clicks, 1_clicks, 5_carts"
A12847,"1_clicks, 5_carts, 8_carts"
A12848,"5_carts, 8_carts, 0_clicks"
A12849,"8_carts, 0_clicks, 15_clicks"
A12850,"0_clicks, 6_clicks, 10_carts"
A12851,"6_clicks, 10_carts, 10_clicks"
A12852,"10_carts, 10_clicks, 6_carts"
A12853,"10_clicks, 6_carts, 10_clicks"
A12854,"6_carts, 10_clicks, 1_clicks"
A12855,"3_carts, 1_clicks, 0_clicks"
A12856,"9_carts, 8_clicks, 10_clicks"
A12857,"13_clicks, 9_clicks, 13_carts"
A12858,"9_clicks, 13_carts, 10_clicks"
A12859,"12_carts, 1_clicks, 10_clicks"
A12860,"10_clicks, 15_clicks, 18_clicks"
A12861,"15_carts, 16_clicks, 15_clicks"
A12862,"18_carts, 3_clicks, 7_clicks"
A12863,"12_clicks, 18_clicks, 0_clicks"
A12864,"1_clicks, 9_clicks, 10_carts"
A12865,"9_clicks, 10_carts, 13_clicks"
A12866,"10_carts, 13_clicks, 12_clicks"
A12867,"6_carts, 9_clicks, 6_clicks"
A12868,"13_carts, 5_clicks, 18_clicks"
A12869,"7_carts, 6_clicks, 13_clicks"
A12870,"5_carts, 10_clicks, 7_clicks"
A12871,"7_clicks, 18_clicks, 18_carts"
A12872,"2_carts, 7_clicks, 15_clicks"
A12873,"9_carts, 11_clicks, 0_clicks"
A12874,"3_carts, 12_clicks, 3_clicks"
A12875,"12_clicks, 3_clicks, 5_orders"
